Vacation_Search,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Kolondieba,ML,31.66,broken clouds,11.0882,-6.8926,Park
75,Presidencia Roque Saenz Pena,AR,32.14,clear sky,-26.7852,-60.4388,Hotel Gualok
76,Manicore,BR,38.2,scattered clouds,-5.8092,-61.3003,Hotel Durval
110,Alta Floresta,BR,34.53,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
117,Bonito,BR,33.23,clear sky,-21.1211,-56.4819,Marruá Hotel
128,Marrakesh,MA,33.04,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
133,Koutiala,ML,32.4,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
144,Esna,EG,32.89,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
197,Bougouni,ML,32.39,broken clouds,11.417,-7.479,Non Stop
213,Aswan,EG,37.61,clear sky,24.0934,32.907,Nuba Nile
219,Puerto Quijarro,BO,38.44,clear sky,-17.7833,-57.7667,Hotel palance
248,Minab,IR,30.15,clear sky,27.1467,57.0801,Bam campground
267,Santa Marta,CO,34.03,few clouds,11.2408,-74.199,Hotel La Ballena Azul
268,Cayenne,GF,32.02,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
272,Saint-Louis,SN,38.47,broken clouds,16.3333,-15.0,
275,Kerewan,GM,32.43,overcast clouds,13.4898,-16.0888,ADWAC Residents
277,Arlit,NE,38.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
286,Upata,VE,30.11,broken clouds,8.0086,-62.3989,Posada Villa Nela
293,Eirunepe,BR,36.98,few clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
310,Goure,NE,36.87,broken clouds,13.9835,10.2704,
319,Oriximina,BR,32.73,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
320,Mayor Pablo Lagerenza,PY,34.99,scattered clouds,-19.9309,-60.7718,
340,Aden,YE,30.83,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
342,Champerico,GT,32.3,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
353,Trinidad,BO,33.99,moderate rain,-14.8333,-64.9,Hotel Piesta
359,Ouro Preto Do Oeste,BR,34.24,scattered clouds,-10.7481,-62.2158,Graúna Resort Hotel
374,Camocim,BR,32.91,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
385,Tessalit,ML,38.68,clear sky,20.1986,1.0114,
390,Progreso,MX,30.62,broken clouds,21.2833,-89.6667,Playa Linda Hotel
392,Envira,BR,36.59,clear sky,-7.3,-70.2167,
409,Islamkot,PK,30.29,broken clouds,24.6997,70.177,Pizza point islamkot
412,Richmond West,US,30.57,scattered clouds,25.6105,-80.4297,"Holiday Inn Express & Suites Miami-Kendall, an IHG Hotel"
422,Mecca,SA,31.48,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
432,Cabo San Lucas,MX,31.77,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
438,Bilma,NE,35.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
463,Nortelandia,BR,36.41,scattered clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
465,Sakakah,SA,32.76,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
486,Koulikoro,ML,35.73,scattered clouds,14.0,-7.75,
487,Tulum,MX,30.76,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
488,Bom Jesus,BR,39.17,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
506,Arecibo,PR,32.37,few clouds,18.4724,-66.7157,Atlantic Sand Oasis
507,Atar,MR,40.39,broken clouds,20.5169,-13.0499,Oumou Elghoura
509,Ouanaminthe,HT,32.6,broken clouds,19.55,-71.7333,Chylton Hotel
520,Puerto Maldonado,PE,30.22,scattered clouds,-12.6,-69.1833,Wasai Hotel
523,Oussouye,SN,34.1,overcast clouds,12.485,-16.5469,Auberge du Routard
529,Araouane,ML,40.55,clear sky,18.9048,-3.5265,
535,Carutapera,BR,30.91,scattered clouds,-1.195,-46.02,Lidera
539,Cabedelo,BR,30.37,broken clouds,-6.9811,-34.8339,Pousada Camboinha
540,Rodrigues Alves,BR,32.11,broken clouds,-7.738,-72.6509,Pousada Aconchego
545,Araioses,BR,31.99,few clouds,-2.89,-41.9031,Pousada Vale do Magú
548,Berbera,SO,32.9,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
549,Shush,IR,33.36,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
